,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
237,152.70681683222452,1.6226368343298732,0.4234808286031087,0.038104480251440795,relu,0.05,"(4, 3, 2)",adaptive,1000,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
238,74.71406515439351,0.7765198318169568,0.3967282772064209,0.01684762276277044,relu,0.05,"(4, 3, 2)",adaptive,2000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
239,154.5940043926239,1.4525635235776844,0.43414974212646484,0.041928180369564354,relu,0.05,"(4, 3, 2)",adaptive,2000,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
240,52.965661684672035,1.8083154092770908,0.5035897095998129,0.04265765629762441,relu,0.05,"(50, 40, 25)",constant,500,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 40, 25), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
248,83.10703380902608,2.2269053937032433,0.44373345375061035,0.05026662023439956,relu,0.05,"(50, 40, 25)",adaptive,1000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 40, 25), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
242,53.925299088160195,1.7573171628743236,0.4732772509256999,0.04411610773811636,relu,0.05,"(50, 40, 25)",constant,1000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 40, 25), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
252,57.52124230066935,0.270728307929188,0.48566826184590656,0.022556692336944233,relu,0.1,"(100, 50, 25)",constant,500,sgd,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
212,82.31869475046794,1.7882135329592104,0.5035956700642904,0.056980992521154794,relu,0.01,"(50, 40, 25)",adaptive,1000,sgd,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 40, 25), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
254,56.83614603678385,1.841078807702924,0.45827142397562665,0.022325115096663666,relu,0.1,"(100, 50, 25)",constant,1000,sgd,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
210,82.03455154101054,1.7786431204511444,0.49226101239522296,0.021575576866024262,relu,0.01,"(50, 40, 25)",adaptive,500,sgd,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 40, 25), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
